state;action_reward;n_state
615&4|204&4|367&4|474&5|118&2|81&3|1451&5|153&3|64&4|494&5|82&4|1050&4;1518&2|629&2|80&3|1197&3;615&4|204&4|367&4|474&5|118&2|81&3|1451&5|153&3|64&4|494&5|82&4|1050&4|1518&2|629&2|80&3|1197&3
129&4|534&4|879&4|242&4|827&3|32&4|1010&4|886&3|60&5|276&5|1016&3|331&4;125&3|1281&3|752&3|903&4;129&4|534&4|879&4|242&4|827&3|32&4|1010&4|886&3|60&5|276&5|1016&3|331&4|125&3|1281&3|752&3|903&4
316&5|302&5|355&4|347&4|989&4|286&4|300&4|258&4|328&4|879&4|313&5|329&3;289&5|689&4|751&4|271&4;316&5|302&5|355&4|347&4|989&4|286&4|300&4|258&4|328&4|879&4|313&5|329&3|289&5|689&4|751&4|271&4
86&4|628&3|45&5|127&5|923&3|195&3|518&4|530&4|1&4|919&2|511&4|182&5;198&5|31&3|273&4|735&3;86&4|628&3|45&5|127&5|923&3|195&3|518&4|530&4|1&4|919&2|511&4|182&5|198&5|31&3|273&4|735&3
151&4|658&4|99&3|228&3|419&5|582&5|694&5|213&5|157&3|378&4|651&4|269&5;735&5|340&5|229&3|427&5;151&4|658&4|99&3|228&3|419&5|582&5|694&5|213&5|157&3|378&4|651&4|269&5|735&5|340&5|229&3|427&5
304&5|294&3|243&5|286&5|269&5|288&4|937&4|300&4|245&4|305&2|332&5|690&5;322&3|324&2|875&1|938&1;304&5|294&3|243&5|286&5|269&5|288&4|937&4|300&4|245&4|305&2|332&5|690&5|322&3|324&2|875&1|938&1
756&1|476&2|596&3|456&1|275&4|93&3|824&3|926&3|928&4|25&5|619&3|282&5;79&5|544&2|210&4|1&4;756&1|476&2|596&3|456&1|275&4|93&3|824&3|926&3|928&4|25&5|619&3|282&5|79&5|544&2|210&4|1&4
435&4|134&4|393&2|186&2|420&4|208&5|423&3|88&4|481&4|257&4|202&5|303&4;650&4|384&4|972&3|389&3;435&4|134&4|393&2|186&2|420&4|208&5|423&3|88&4|481&4|257&4|202&5|303&4|650&4|384&4|972&3|389&3
597&3|264&3|117&4|127&4|472&3|235&4|546&4|1615&2|926&3|289&2|405&3|685&3;407&3|1052&4|841&4|568&4;597&3|264&3|117&4|127&4|472&3|235&4|546&4|1615&2|926&3|289&2|405&3|685&3|407&3|1052&4|841&4|568&4
100&4|216&5|648&5|238&4|678&3|210&4|198&4|479&4|435&5|173&4|190&5|191&5;780&1|202&4|524&5|204&4;100&4|216&5|648&5|238&4|678&3|210&4|198&4|479&4|435&5|173&4|190&5|191&5|780&1|202&4|524&5|204&4
461&3|357&4|210&4|237&3|708&4|1147&5|1051&4|685&4|972&4|82&3|628&4|23&4;5&4|45&5|161&5|484&4;461&3|357&4|210&4|237&3|708&4|1147&5|1051&4|685&4|972&4|82&3|628&4|23&4|5&4|45&5|161&5|484&4
591&4|198&1|97&4|165&3|202&5|465&4|483&4|423&4|28&4|821&2|213&5|144&2;282&4|121&4|95&4|164&3;591&4|198&1|97&4|165&3|202&5|465&4|483&4|423&4|28&4|821&2|213&5|144&2|282&4|121&4|95&4|164&3
332&5|100&4|895&4|136&4|11&5|288&5|313&5|655&5|261&2|358&1|292&5|237&5;315&4|330&3|323&2|289&5;332&5|100&4|895&4|136&4|11&5|288&5|313&5|655&5|261&2|358&1|292&5|237&5|315&4|330&3|323&2|289&5
638&4|178&4|196&4|286&4|269&5|28&5|181&4|279&4|275&4|690&4|86&5|321&5;302&4|258&4|116&4|480&4;638&4|178&4|196&4|286&4|269&5|28&5|181&4|279&4|275&4|690&4|86&5|321&5|302&4|258&4|116&4|480&4
235&5|147&5|240&1|1&4|405&5|237&5|123&3|148&5|151&4|222&5|50&5|276&4;1199&2|472&4|476&4|597&2;235&5|147&5|240&1|1&4|405&5|237&5|123&3|148&5|151&4|222&5|50&5|276&4|1199&2|472&4|476&4|597&2
547&4|284&2|864&1|100&5|124&5|1009&3|15&3|126&5|285&5|282&2|591&3|546&1;287&4|221&4|286&5|475&4;547&4|284&2|864&1|100&5|124&5|1009&3|15&3|126&5|285&5|282&2|591&3|546&1|287&4|221&4|286&5|475&4
