state;action_reward;n_state
946&3|187&5|926&3|249&3|1286&5|663&4|499&4|642&4|367&4|239&3|674&2|79&4;167&3|712&3|72&3|820&3;946&3|187&5|926&3|249&3|1286&5|663&4|499&4|642&4|367&4|239&3|674&2|79&4|167&3|712&3|72&3|820&3
293&4|283&3|288&3|886&3|531&3|298&3|170&4|264&3|134&4|689&3|284&3|1048&4;315&4|52&4|346&4|1403&3;293&4|283&3|288&3|886&3|531&3|298&3|170&4|264&3|134&4|689&3|284&3|1048&4|315&4|52&4|346&4|1403&3
316&5|347&4|328&4|989&4|327&4|313&5|333&4|258&4|355&4|748&4|272&5|300&4;289&5|751&4|878&4|689&4;316&5|347&4|328&4|989&4|327&4|313&5|333&4|258&4|355&4|748&4|272&5|300&4|289&5|751&4|878&4|689&4
9&4|257&4|515&5|477&3|32&3|527&5|45&5|182&5|127&5|181&3|98&4|1101&4;31&3|198&5|151&5|654&4;9&4|257&4|515&5|477&3|32&3|527&5|45&5|182&5|127&5|181&3|98&4|1101&4|31&3|198&5|151&5|654&4
277&5|214&4|416&3|660&5|676&5|923&5|317&4|22&4|1518&3|202&4|655&4|162&5;1168&4|724&5|959&5|272&5;277&5|214&4|416&3|660&5|676&5|923&5|317&4|22&4|1518&3|202&4|655&4|162&5|1168&4|724&5|959&5|272&5
300&4|269&5|332&5|882&5|243&5|289&3|286&5|873&5|245&4|937&4|288&4|690&5;322&3|875&1|938&1|324&2;300&4|269&5|332&5|882&5|243&5|289&3|286&5|873&5|245&4|937&4|288&4|690&5|322&3|875&1|938&1|324&2
93&3|269&3|237&4|928&4|1028&1|222&2|1059&3|411&2|284&3|280&4|275&4|121&4;210&4|432&2|3&4|318&5;93&3|269&3|237&4|928&4|1028&1|222&2|1059&3|411&2|284&3|280&4|275&4|121&4|210&4|432&2|3&4|318&5
173&3|902&4|199&4|506&4|419&4|855&4|507&4|514&5|708&3|170&4|2&4|181&4;153&5|389&3|650&4|755&4;173&3|902&4|199&4|506&4|419&4|855&4|507&4|514&5|708&3|170&4|2&4|181&4|153&5|389&3|650&4|755&4
289&2|685&3|472&3|257&4|117&4|151&4|100&4|473&3|358&3|515&5|250&4|259&4;122&1|1052&4|407&3|506&4;289&2|685&3|472&3|257&4|117&4|151&4|100&4|473&3|358&3|515&5|250&4|259&4|122&1|1052&4|407&3|506&4
199&5|507&4|8&3|1089&3|596&4|692&4|500&4|498&5|70&5|484&4|238&4|650&3;4&3|580&4|202&4|367&3;199&5|507&4|8&3|1089&3|596&4|692&4|500&4|498&5|70&5|484&4|238&4|650&3|4&3|580&4|202&4|367&3
972&4|187&4|54&3|191&5|521&4|97&4|866&4|271&1|180&4|77&4|520&5|405&3;174&5|197&5|525&4|45&5;972&4|187&4|54&3|191&5|521&4|97&4|866&4|271&1|180&4|77&4|520&5|405&3|174&5|197&5|525&4|45&5
28&4|821&2|222&1|485&5|604&4|82&4|99&4|198&1|143&5|419&4|591&4|487&4;496&5|164&3|294&1|742&4;28&4|821&2|222&1|485&5|604&4|82&4|99&4|198&1|143&5|419&4|591&4|487&4|496&5|164&3|294&1|742&4
300&5|678&3|181&4|682&5|326&4|358&1|310&5|22&5|292&5|261&2|321&5|313&5;289&5|346&1|315&4|330&3;300&5|678&3|181&4|682&5|326&4|358&1|310&5|22&5|292&5|261&2|321&5|313&5|289&5|346&1|315&4|330&3
